audiocap_id,youtube_id,start_time,caption
91139,r1nicOVtvkQ,130,A woman talks nearby as water pours
58146,UDGBjjwyaqE,20,Multiple clanging and clanking sounds
11542,3eJ9RynJzP8,80,"The wind is blowing, insects are singing, and rustling occurs"
11543,3eK62q7SnVU,390,The wind is blowing and rustling occurs
11540,3eGXNIadwGk,30,Person is whistling
11541,3eHYGSux1Ps,30,"A motorboat cruises along, and a man talks"
11546,3eNWJ4Hle6Y,210,The sizzling of food while a dish is clanking
11547,3eQYsDrfsTc,20,Someone has a hiccup while typing
11544,3eL37ZUN5S4,21,Aircraft engine hum with man and woman speaking
11545,3eN7ujFJzXQ,170,Hissing followed by clanking dishes and speech
89378,pgeooj3u3CM,200,A woman is talking the whole time something is sprayed a few times in the middle
89379,pgl_pG7j7d8,170,A man talks nearby as water pours out of a faucet
11548,3eSIVCoTR2I,210,Crackling noise precedes a fly buzzing
11549,3eZrNSkyUmA,30,A dog whimpers quietly
5988,1OIVJfQTGVk,30,Engine revving loudly
5989,1OIm8vLHCwo,19,An adult female speaks and a cat meows
19399,77gagnj481E,30,Child giving a speech and crowd clapping
19398,77fnehVF7wE,1,A dog barks twice and then whimpers
5982,1O662rM-u0E,30,A whoosh sound is heard loudly as a car revs its engines
5983,1O7-QuhweZE,19,Children screaming in the background as the sound of water flowing by
5980,1O2vHreD6eI,60,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
5981,1O5u-mBU2JI,30,"A man speaking in a foreign language, can hear doves in the background"
5986,1OCyUeuv2-Q,40,Men speaking then sneezing
5987,1OI6GPNHhLg,30,A man speaks slowly and with strength
5984,1OB2TC-aAqY,30,A horse galloping
5985,1OCv1wCGK-s,30,"A child screams, an adult male is talking and vehicles are revving"
82441,kZ7_b_VVumc,140,Splashing water with children speaking
97479,vvbK4KaEOTc,30,Humming of an engine accelerating and revving
49688,OWhT0Gs-_q8,30,Several explosions burst nearby as people grunt loudly
83899,ld9qe2J9Huk,80,Someone snores briefly
88395,oy2b5i_4-20,0,A woman talking and then a cat meowing
31736,DJVEiFFUB6g,250,A woman talks while frying something
88391,oxs8A0Cdwwc,30,Crashing waves and a gust of wind
46139,MDoHzN4CYYg,11,Humming and vibrating of a motor
82996,kxZQJiOLSqE,20,Honking of a horn of a passing train
